-0.2687;-80.8048;3.9;57.25; Bahia de Caraquez,Manabi;costa;2017/07/01 18:10:56;
-0.1246;-80.7473;4.5;54.50; Jama,Manabi;costa;2017/07/01 03:32:50;
-0.0581;-80.9949;3.6;82.92; Jama,Manabi;costa;2017/07/01 01:07:40;
-0.1896;-80.7849;3.7;58.01; Jama,Manabi;costa;2017/07/01 00:14:41;
-2.9346;-78.6503;3.6;14.95; Gualaceo,Azuay;sierra;2017/06/30 22:57:04;
-0.4341;-81.0942;3.9;73.20; Manta,Manabi;costa;2017/06/30 22:55:21;
-0.1792;-80.8399;4.9;64.17; Jama,Manabi;costa;2017/06/30 22:37:47;
-0.1456;-80.851;6.3;65.65; Jama,Manabi;costa;2017/06/30 22:29:40;
-2.931;-80.0179;4.1;35.37; Balao,Guayas;costa;2017/06/30 15:38:44;
0.1317;-80.3562;4.1;34.52; Pedernales,Manabi;costa;2017/06/30 13:22:26;
-4.2526;-79.9976;4.6;15.31; Macara,Loja;sierra;2017/06/27 22:13:47;
-0.3316;-80.4421;3.6;24.55; Jama,Manabi;costa;2017/06/27 17:22:57;
0.7273;-77.8663;3.6;15.33; San Gabriel,Carchi;sierra;2017/06/26 17:14:22;
1.2724;-77.2777;3.5;70.50; Tulcan,Carchi;sierra;2017/06/26 01:41:25;
-1.9528;-80.3404;3.8;18.69; Pedro Carbo,Guayas;costa;2017/06/23 19:55:16;
-3.4465;-77.0968;3.9;162.10; Sucua,Morona Stgo;amazonia;2017/06/21 06:50:42;
0.0168;-80.42;3.7;29.92; Jama,Manabi;costa;2017/06/20 17:05:06;
-2.678;-79.7238;3.7;11.34; Naranjal,Guayas;costa;2017/06/18 20:03:51;
0.9296;-79.7006;4;6.93; Esmeraldas,Esmeraldas;costa;2017/06/16 18:12:38;
-1.9467;-77.7198;3.5;59.43; Macas,Morona Stgo;amazonia;2017/06/15 15:07:26;
-3.3759;-79.7953;3.8;5.68; Pasaje,El Oro;costa;2017/06/15 10:11:16;
-0.9552;-80.7337;3.3;3.09; Manta,Manabi;costa;2017/06/14 03:43:48;
-1.0725;-80.6255;3.6;4.57; Montecristi,Manabi;costa;2017/06/14 03:08:27;
0.3531;-80.2271;4;36.77; Pedernales,Manabi;costa;2017/06/12 14:30:32;
0.478;-80.6518;3.9;71.75; Muisne,Esmeraldas;costa;2017/06/11 19:08:55;
0.4745;-80.6436;4.4;70.95; Muisne,Esmeraldas;costa;2017/06/11 18:01:49;
0.6657;-80.1179;3.6;12.38; Muisne,Esmeraldas;costa;2017/06/10 09:00:45;
-4.4619;-83.6523;4.7;389.18; Salinas,Sta Elena;costa;2017/06/10 05:52:16;
0.5505;-79.9495;3.5;10.43; Muisne,Esmeraldas;costa;2017/06/09 17:00:00;
0.6327;-80.058;3.9;4.77; Muisne,Esmeraldas;costa;2017/06/09 09:06:49;
-4.208;-80.545;4.1;70.07; Macara,Loja;sierra;2017/06/09 02:49:12;
-3.4316;-80.8331;3.7;67.97; Huaquillas,El Oro;costa;2017/06/08 15:33:18;
-2.8406;-80.4602;3.8;24.87; Playas,Guayas;costa;2017/06/08 10:14:20;
-4.1442;-80.534;4.7;71.15; Macara,Loja;sierra;2017/06/08 04:27:39;
0.6215;-80.2545;3.7;26.03; Muisne,Esmeraldas;costa;2017/06/08 02:43:57;
0.313;-80.185;3.5;30.54; Pedernales,Manabi;costa;2017/06/08 02:14:29;
-1.4054;-80.3389;3.6;19.05; Pajan,Manabi;costa;2017/06/08 00:46:42;
0.6103;-80.0679;3.6;5.26; Muisne,Esmeraldas;costa;2017/06/07 20:17:28;
0.613;-80.0875;3.9;7.44; Muisne,Esmeraldas;costa;2017/06/07 17:30:54;
